,Titles,URL,Category,Rating
0,Elevate - Brain Training Games,com.wonder,['EDUCATION'],4.58871
1,Prodigy Math Game,com.prodigygame.prodigy,['GAME_EDUCATIONAL'],4.165248
2,Adventure Academy,com.aofl.adventureacademy,['GAME_EDUCATIONAL'],4.210647
3,PBS KIDS Games,org.pbskids.gamesapp,['GAME_EDUCATIONAL'],4.0645275
4,Starfall.com,air.com.starfall.more,['EDUCATION'],4.066722
5,"Fairy Tales ~ Children’s Books, Stories and Games",com.amayasoft.bookstorem4.en,['GAME_EDUCATIONAL'],4.511034
6,Let's Read - Digital Library of Children's Books,org.asiafoundation.letsread,['EDUCATION'],4.57
7,Bible App for Kids: Audio & Interactive Stories,com.bible.kids,['EDUCATION'],4.3872747
8,GCompris Educational Game for Children,net.gcompris.full,['GAME_EDUCATIONAL'],4.029703
9,"Math Kids - Add, Subtract, Count, and Learn",com.rvappstudios.math.kids.counting,['GAME_EDUCATIONAL'],4.2711797
10,Kids Fairy Tales - Children Offline Story Videos,com.videogyan.kids_fairy_tales,['EDUCATION'],4.2695036
11,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,['GAME_EDUCATIONAL'],4.2446775
12,Raising Children,nz.org.raisingchildren.app,['EDUCATION'],4.3333335
13,Language Therapy for Children with Autism (MITA),com.imagiration.mita,['EDUCATION'],4.489614
14,Spelling & Phonics: Kids Games,com.rvappstudios.abc.spelling.toddler.spell.phonics,['GAME_EDUCATIONAL'],4.4645286
15,KOBI - Helps Children Read,si.hopalai.kobi.kobi,['EDUCATION'],4.34
16,Bedtime Stories for Kids - Story Books to Read,com.internetdesignzone.aesopfables,['EDUCATION'],4.308765
17,Chimple Kids - A Free Learning App for Children,org.chimple.bahama,['GAME_EDUCATIONAL'],4.22
18,ABCD English Childrens App & Educational Games,com.whizkidzmedia.youhuu,['EDUCATION'],4.6079855
19,Mathematics for children,com.SFGames.MathAdventure,['GAME_EDUCATIONAL'],4.69
20,Math Master Kids - Math game for Children,net.chokolovka.sonic.mathmasterkids,['GAME_EDUCATIONAL'],4.24
21,SoyMomo - Mobile GPS watch for children,com.sosmartlabs.momo,['PARENTING'],4.334862
22,"Colors for Kids, Toddlers, Babies - Learning Game",com.oki.colors,['GAME_EDUCATIONAL'],4.100822
23,Childrens Countdown Timer - Visual Timer For Kids,com.fehnerssoftware.visualtimer,['EDUCATION'],4.34
24,EWA Kids: English for children,com.ewa.ewakids,['EDUCATION'],4.6039605
25,Kids Songs - Offline Nursery Rhymes & Baby Songs,com.duasaudara.kidssongs,['GAME_EDUCATIONAL'],4.2400513
26,The Happy Child - Parenting App,com.hip.app,['EDUCATION'],4.9138494
27,Yoga for Kids and Family fitness - Easy Workout,com.fitnessapps.yogakidsworkouts,['HEALTH_AND_FITNESS'],4.5389504
28,Khan Academy Kids,org.khankids.android,['EDUCATION'],4.644789
29,Khan Academy,org.khanacademy.android,['EDUCATION'],4.5071125
30,Epic: Kids' Books & Educational Reading Library,com.getepic.Epic,['EDUCATION'],4.264634
31,Brilliant,org.brilliant.android,['EDUCATION'],4.6256485
32,Lingokids - kids playlearning™,es.monkimun.lingokids,['EDUCATION'],4.429922
33,Kiddopia,com.paperboatapps.google.kiddopia,['EDUCATION'],4.0351562
34,"TinyTap - Educational Games for Kids, by Teachers.",tinytap.kids.learning.games,['EDUCATION'],4.576271
35,Make It - Create Educational Games & Quizzes,com.planetfactory.makeitAndroid,['EDUCATION'],4.0454545
36,Educational Puzzles for Kids (Preschool),forqan.tech.babypuzzles_edu.ads,['EDUCATION'],4.04697
37,Endless Alphabet,com.originatorkids.EndlessAlphabet,['EDUCATION'],4.4236016
38,Sago Mini Dinosaurs,com.sagosago.Dinosaurs.googleplay,['EDUCATION'],4.3960395
39,Moose Math by Duck Duck Moose,com.duckduckmoosedesign.km,['EDUCATION'],4.3656716
40,Keiki Educational ABC Puzzle Games for Kids & Baby,gen.tech.keiki.world.learning,['GAME_EDUCATIONAL'],4.321332
41,ABC PreSchool Kids Tracing & Phonics Learning Game,com.gamesforkids.preschoolworksheets.alphabets,['GAME_EDUCATIONAL'],4.143038
42,Writing Wizard - Kids Learn Letters & Phonics,com.lescapadou.tracingfree,['EDUCATION'],4.044025
43,Zigzag Puppy Training App – Easy Training for Dogs,nl.navara.zigzag,['EDUCATION'],4.6960783
44,Human body (male) educational VR 3D,com.rendernet.humanmale,['EDUCATION'],4.620612
45,"Educational Worksheets for Pre School, Pre k and K",com.bts.xplorabox,['EDUCATION'],4.7524753
46,Kids Education (Preschool),forqan.tech.iq_brain_trainer,['GAME_EDUCATIONAL'],4.339827
47,Funny Food! Educational games for kids 3 years old,biz.arrowstar.funnyfood2,['GAME_EDUCATIONAL'],4.2418895
48,Sesame Street Alphabet Kitchen,com.sesameworkshop.alphabetkitchen.play,['GAME_EDUCATIONAL'],4.1470294
